651026,7536381,1236,0.20,0.318,0.457
651026,7536381,1236,0.40,0.393,0.457
651026,7536381,1236,0.60,0.478,0.457
651026,7536381,1236,0.80,0.502,0.457
651026,7536381,1236,1.00,0.443,0.457
651026,7536381,1236,1.20,0.504,0.457
651026,7536381,1236,1.42,0.489,0.457
651026,7536381,1236,1.71,0.496,0.457
651026,7536381,1236,1.94,0.468,0.457
650526,7536410,1320,0.20,0.284,0.424
650526,7536410,1320,0.40,0.403,0.424
650526,7536410,1320,0.60,0.403,0.424
650526,7536410,1320,0.80,0.438,0.424
650526,7536410,1320,1.00,0.473,0.424
650526,7536410,1320,1.19,0.494,0.424
650526,7536410,1320,1.58,0.461,0.424
650526,7536410,1320,1.65,0.372,0.424
650027,7536439,1361,0.20,0.348,0.445
650027,7536439,1361,0.40,0.408,0.445
650027,7536439,1361,0.60,0.468,0.445
650027,7536439,1361,0.80,0.428,0.445
650027,7536439,1361,1.00,0.448,0.445
650027,7536439,1361,1.19,0.477,0.445
650027,7536439,1361,1.52,0.504,0.445
649529,7536467,1397,0.20,0.363,0.483
649529,7536467,1397,0.40,0.383,0.483
649529,7536467,1397,0.60,0.463,0.483
649529,7536467,1397,0.80,0.463,0.483
649529,7536467,1397,1.00,0.473,0.483
649529,7536467,1397,1.19,0.477,0.483
649529,7536467,1397,1.44,0.480,0.483
649529,7536467,1397,1.66,0.494,0.483
649529,7536467,1397,2.08,0.518,0.483
649529,7536467,1397,2.36,0.526,0.483
649529,7536467,1397,2.68,0.538,0.483
649529,7536467,1397,2.94,0.523,0.483
648630,7536518,1505,0.20,0.234,0.438
648630,7536518,1505,0.40,0.363,0.438
648630,7536518,1505,0.60,0.358,0.438
648630,7536518,1505,0.80,0.433,0.438
648630,7536518,1505,1.00,0.368,0.438
648630,7536518,1505,1.13,0.427,0.438
648630,7536518,1505,1.41,0.433,0.438
648630,7536518,1505,1.72,0.427,0.438
648630,7536518,1505,2.11,0.450,0.438
648630,7536518,1505,2.36,0.457,0.438
648630,7536518,1505,2.60,0.467,0.438
648630,7536518,1505,2.87,0.482,0.438
648630,7536518,1505,3.16,0.527,0.438
648630,7536518,1505,3.39,0.507,0.438
648630,7536518,1505,3.78,0.496,0.438
648359,7537035,1612,0.20,0.234,0.444
648359,7537035,1612,0.40,0.239,0.444
648359,7537035,1612,0.60,0.289,0.444
648359,7537035,1612,0.80,0.313,0.444
648359,7537035,1612,1.00,0.358,0.444
648359,7537035,1612,1.20,0.413,0.444
648359,7537035,1612,1.48,0.400,0.444
648359,7537035,1612,1.63,0.430,0.444
648359,7537035,1612,2.05,0.434,0.444
648359,7537035,1612,2.45,0.467,0.444
648359,7537035,1612,2.77,0.506,0.444
648359,7537035,1612,3.10,0.463,0.444
648359,7537035,1612,3.54,0.486,0.444
648359,7537035,1612,3.80,0.509,0.444
648359,7537035,1612,4.01,0.555,0.444
648359,7537035,1612,4.33,0.520,0.444
648359,7537035,1612,4.56,0.527,0.444
648359,7537035,1612,4.82,0.483,0.444
648359,7537035,1612,5.05,0.527,0.444
648359,7537035,1612,5.43,0.486,0.444
